State,Denominator,Prevalence,Lower CI,Upper CI,Year,Source,Source_Full1,State_Full1,State_Full2,Numerator_ASD,Numerator_NonASD,Proportion,95_Z_CI,Z_Lower CI,Z_Upper CI,Z_Lower CI_ABSerror,Z_Upper CI_ABSerror,Chi_Wilson_P,95_Chi_Wilson_CI,Chi_Wilson_Lower CI,Chi_Wilson_Upper CI,Chi_Wilson_Lower CI_ABSerror,Chi_Wilson_Upper CI_ABSerror,Chi_Wilson_Corrected_w_minus CI,Chi_Wilson_Corrected_w_plus CI,Chi_Wilson_Corrected_Lower CI,Chi_Wilson_Corrected_Upper CI,Chi_Wilson_Corrected_Lower CI_ABSerror,Chi_Wilson_Corrected_Upper CI_ABSerror,Male Prevalence,Male Lower CI,Male Upper CI,Female Prevalence,Female Lower CI,Female Upper CI,Non-hispanic white Prevalence,Non-hispanic white Lower CI,Non-hispanic white Upper CI,Non-hispanic black Prevalence,Non-hispanic black Lower CI,Non-hispanic black Upper CI,Hispanic Prevalence,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander Prevalence,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI
NM,294624,0.8,0.7,0.9,2001,sped,Special Education Child Count,New Mexico,NM-New Mexico,236,294388,0.000801021,0.000102156,0.698865413,0.903176511,0.001134587,0.003176511,0.00080753,0.000102362,0.705167667,0.909891712,0.005167667,0.009891712,0.000703579,0.000911697,0.703578576,0.911696619,0.003578576,0.011696619,,,,,,,,,,,,,,,,,,
NY,2508236,2.6,2.6,2.7,2001,sped,Special Education Child Count,New York,NY-New York,6521,2501715,0.002599835,6.3019E-05,2.536816103,2.662854104,0.063183897,0.037145896,0.002600597,6.30236E-05,2.537573333,2.663620446,0.062426667,0.036379554,0.002537376,0.002663822,2.537376399,2.663822198,0.062623601,0.036177802,,,,,,,,,,,,,,,,,,
NC,1203271,2.4,2.3,2.5,2001,sped,Special Education Child Count,North Carolina,NC-North Carolina,2888,1200383,0.002400124,8.74302E-05,2.312694136,2.487554519,0.012694136,0.012445481,0.002401713,8.74445E-05,2.314268434,2.4891574,0.014268434,0.0108426,0.00231386,0.00248958,2.313860451,2.489580481,0.013860451,0.010419519,,,,,,,,,,,,,,,,,,
ND,98267,1.4,1.2,1.6,2001,sped,Special Education Child Count,North Dakota,ND-North Dakota,138,98129,0.001404337,0.00023414,1.170197616,1.63847671,0.029802384,0.03847671,0.001423828,0.000234945,1.18888273,1.658772329,0.01111727,0.058772329,0.001184217,0.001664282,1.184217217,1.664282013,0.015782783,0.064282013,,,,,,,,,,,,,,,,,,
OH,1673476,1.7,1.7,1.8,2001,sped,Special Education Child Count,Ohio,OH-Ohio,2845,1670631,0.001700054,6.24166E-05,1.637637636,1.76247088,0.062362364,0.03752912,0.001701198,6.2427E-05,1.638771071,1.763625132,0.061228929,0.036374868,0.001638478,0.001763929,1.638477767,1.763929385,0.061522233,0.036070615,,,,,,,,,,,,,,,,,,
OK,549715,1.4,1.3,1.5,2001,sped,Special Education Child Count,Oklahoma,OK-Oklahoma,770,548945,0.001400726,9.8867E-05,1.3018588,1.499592861,0.0018588,0.000407139,0.00140421,9.89281E-05,1.305282003,1.503138125,0.005282003,0.003138125,0.001304404,0.00150408,1.304404487,1.50407971,0.004404487,0.00407971,,,,,,,,,,,,,,,,,,
OR,510574,5.2,5.1,5.4,2001,sped,Special Education Child Count,Oregon,OR-Oregon,2655,507919,0.00520003,0.000197283,5.002746826,5.397312714,0.097253174,0.002687286,0.005203753,0.000197317,5.006435197,5.401069844,0.093564803,0.001069844,0.005005474,0.005402068,5.005474392,5.402067601,0.094525608,0.002067601,,,,,,,,,,,,,,,,,,
PA,1694084,2.2,2.2,2.3,2001,sped,Special Education Child Count,Pennsylvania,PA-Pennsylvania,3727,1690357,0.002200009,7.05529E-05,2.129456117,2.270561828,0.070543883,0.029438172,0.002201138,7.05618E-05,2.130575963,2.271699572,0.069424037,0.028300428,0.002130286,0.002271999,2.13028554,2.271999438,0.06971446,0.028000562,,,,,,,,,,,,,,,,,,
RI,146113,2.5,2.3,2.8,2001,sped,Special Education Child Count,Rhode Island,RI-Rhode Island,365,145748,0.002498067,0.000255954,2.242112201,2.754020929,0.057887799,0.045979071,0.002511146,0.000256285,2.254861079,2.767431023,0.045138921,0.032568977,0.002251614,0.002771028,2.251613857,2.77102752,0.048386143,0.02897248,,,,,,,,,,,,,,,,,,
SC,611633,1.5,1.4,1.6,2001,sped,Special Education Child Count,South Carolina,SC-South Carolina,917,610716,0.001499265,9.69652E-05,1.402299849,1.596230315,0.002299849,0.003769685,0.001502396,9.70155E-05,1.405380514,1.599411438,0.005380514,0.000588562,0.001404589,0.001600255,1.404589421,1.600255294,0.004589421,0.000255294,,,,,,,,,,,,,,,,,,
SD,117018,2,1.7,2.2,2001,sped,Special Education Child Count,South Dakota,SD-South Dakota,234,116784,0.001999692,0.000255958,1.743734368,2.255650342,0.043734368,0.055650342,0.00201604,0.000256475,1.759564817,2.27251546,0.059564817,0.07251546,0.001755565,0.00227706,1.755564599,2.277060364,0.055564599,0.077060364,,,,,,,,,,,,,,,,,,
TN,825081,1.2,1.1,1.3,2001,sped,Special Education Child Count,Tennessee,TN-Tennessee,990,824091,0.001199882,7.46979E-05,1.125184293,1.274580094,0.025184293,0.025419906,0.001202205,7.47338E-05,1.127470706,1.276938342,0.027470706,0.023061658,0.001126884,0.001277563,1.126883542,1.27756317,0.026883542,0.02243683,,,,,,,,,,,,,,,,,,
TX,3690487,1.8,1.8,1.9,2001,sped,Special Education Child Count,Texas,TX-Texas,6643,3683844,0.001800033,4.32469E-05,1.756786504,1.84328037,0.043213496,0.05671963,0.001800552,4.325E-05,1.757301998,1.843802037,0.042698002,0.056197963,0.001757168,0.001843939,1.757168139,1.843939145,0.042831861,0.056060855,,,,,,,,,,,,,,,,,,
UT,430133,1.6,1.5,1.7,2001,sped,Special Education Child Count,Utah,UT-Utah,688,429445,0.001599505,0.000119424,1.480081179,1.718929359,0.019918821,0.018929359,0.001603956,0.000119506,1.484449898,1.723462854,0.015550102,0.023462854,0.001483331,0.001724669,1.48333078,1.724668562,0.01666922,0.024668562,,,,,,,,,,,,,,,,,,
VT,92230,2.5,2.2,2.8,2001,sped,Special Education Child Count,Vermont,VT-Vermont,231,91999,0.002504608,0.00032258,2.182028131,2.827187959,0.017971869,0.027187959,0.002525328,0.000323238,2.202090307,2.848566279,0.002090307,0.048566279,0.002197017,0.002854335,2.19701699,2.854334592,0.00298301,0.054334592,,,,,,,,,,,,,,,,,,
VA,1064202,2.1,2,2.2,2001,sped,Special Education Child Count,Virginia,VA-Virginia,2235,1061967,0.002100165,8.69774E-05,2.013187827,2.187142562,0.013187827,0.012857438,0.002101962,8.69958E-05,2.014966683,2.188958239,0.014966683,0.011041761,0.002014507,0.002189438,2.014506556,2.189437778,0.014506556,0.010562222,,,,,,,,,,,,,,,,,,
WA,932818,2,1.9,2.1,2001,sped,Special Education Child Count,Washington,WA-Washington,1866,930952,0.00200039,9.06718E-05,1.909718428,2.091062003,0.009718428,0.008937997,0.002002441,9.06948E-05,1.91174624,2.093135821,0.01174624,0.006864179,0.001911222,0.002093684,1.911222353,2.093683949,0.011222353,0.006316051,,,,,,,,,,,,,,,,,,
WV,255361,1.4,1.2,1.5,2001,sped,Special Education Child Count,West Virginia,WV-West Virginia,358,255003,0.001401937,0.000145121,1.256815822,1.54705791,0.056815822,0.04705791,0.001409437,0.000145314,1.264123637,1.554750937,0.064123637,0.054750937,0.001262267,0.00155681,1.262266752,1.556809947,0.062266752,0.056809947,,,,,,,,,,,,,,,,,,
WI,797219,2.7,2.6,2.8,2001,sped,Special Education Child Count,Wisconsin,WI-Wisconsin,2152,795067,0.002699384,0.000113895,2.585488741,2.813278724,0.014511259,0.013278724,0.00270178,0.00011392,2.587860078,2.815699924,0.012139922,0.015699924,0.002587246,0.00281634,2.587246095,2.816340292,0.012753905,0.016340292,,,,,,,,,,,,,,,,,,
WY,82126,1.2,1,1.5,2001,sped,Special Education Child Count,Wyoming,WY-Wyoming,99,82027,0.001205465,0.000237314,0.968150917,1.44277863,0.031849083,0.05722137,0.001228795,0.000238452,0.990342532,1.467247246,0.009657468,0.032752754,0.000984851,0.00147393,0.984851001,1.473930062,0.015148999,0.026069938,,,,,,,,,,,,,,,,,,
AL,674152,1.5,1.4,1.6,2002,sped,Special Education Child Count,Alabama,AL-Alabama,1011,673141,0.001499662,9.23719E-05,1.407289882,1.592033713,0.007289882,0.007966287,0.001502502,9.24153E-05,1.410087023,1.594917657,0.010087023,0.005082343,0.001409368,0.001595682,1.409368154,1.595682119,0.009368154,0.004317881,,,,,,,,,,,,,,,,,,
AK,122904,2,1.8,2.3,2002,sped,Special Education Child Count,Alaska,AK-Alaska,246,122658,0.002001562,0.00024987,1.751691941,2.251432449,0.048308059,0.048567551,0.002017127,0.000250351,1.766776365,2.267477699,0.033223635,0.032522301,0.001762961,0.002271799,1.762961327,2.27179858,0.037038673,0.02820142,,,,,,,,,,,,,,,,,,
AZ,853801,1.9,1.8,2,2002,sped,Special Education Child Count,Arizona,AZ-Arizona,1622,852179,0.00189974,9.23643E-05,1.807375846,1.99210436,0.007375846,0.00789564,0.001901981,9.23912E-05,1.809589935,1.994372401,0.009589935,0.005627599,0.001809019,0.001994972,1.809018527,1.994972219,0.009018527,0.005027781,,,,,,,,,,,,,,,,,,
AR,412287,2.2,2,2.3,2002,sped,Special Education Child Count,Arkansas,AR-Arkansas,907,411380,0.002199924,0.000143012,2.056911385,2.342936294,0.056911385,0.042936294,0.002204562,0.000143087,2.061475037,2.347648999,0.061475037,0.047648999,0.002060302,0.002348901,2.060301617,2.348901041,0.060301617,0.048901041,,,,,,,,,,,,,,,,,,
CA,5724081,2.7,2.6,2.7,2002,sped,Special Education Child Count,California,CA-California,15455,5708626,0.002699997,4.25099E-05,2.657486867,2.742506599,0.057486867,0.042506599,0.00270033,4.25112E-05,2.657819312,2.742841635,0.057819312,0.042841635,0.002657733,0.00274293,2.657732647,2.742929671,0.057732647,0.042929671,,,,,,,,,,,,,,,,,,
CO,677622,1,0.9,1,2002,sped,Special Education Child Count,Colorado,CO-Colorado,678,676944,0.001000558,7.52763E-05,0.925281568,1.075834098,0.025281568,0.075834098,0.001003387,7.53292E-05,0.928057474,1.078715845,0.028057474,0.078715845,0.000927347,0.001079481,0.927347318,1.07948142,0.027347318,0.07948142,,,,,,,,,,,,,,,,,,
CT,517649,3.2,3.1,3.4,2002,sped,Special Education Child Count,Connecticut,CT-Connecticut,1656,515993,0.003199079,0.000153832,3.045246768,3.352911057,0.054753232,0.047088943,0.003202766,0.000153876,3.048889886,3.356641376,0.051110114,0.043358624,0.003047947,0.00335763,3.047947132,3.357630414,0.052052868,0.042369586,,,,,,,,,,,,,,,,,,
DE,107916,2.8,2.5,3.1,2002,sped,Special Education Child Count,Delaware,DE-Delaware,302,107614,0.002798473,0.000315179,2.483293946,3.113651826,0.016706054,0.013651826,0.002816171,0.00031567,2.500501168,3.131840861,0.000501168,0.031840861,0.002496128,0.003136734,2.496127962,3.136733576,0.003872038,0.036733576,,,,,,,,,,,,,,,,,,
DC,60385,2.6,2.3,3.1,2002,sped,Special Education Child Count,District of Columbia,DC-District of Columbia,157,60228,0.002599983,0.000406166,2.193817471,3.006149408,0.106182529,0.093850592,0.002631624,0.000407384,2.224240441,3.039007721,0.075759559,0.060992279,0.002216604,0.00304793,2.216604345,3.047929949,0.083395655,0.052070051,,,,,,,,,,,,,,,,,,
FL,2305437,2.1,2,2.1,2002,sped,Special Education Child Count,Florida,FL-Florida,4841,2300596,0.002099819,5.90889E-05,2.040729917,2.158907722,0.040729917,0.058907722,0.002100648,5.90947E-05,2.041553772,2.159743127,0.041553772,0.059743127,0.00204134,0.002159963,2.041339939,2.15996305,0.041339939,0.05996305,,,,,,,,,,,,,,,,,,
GA,1346495,2.2,2.1,2.3,2002,sped,Special Education Child Count,Georgia,GA-Georgia,2962,1343533,0.002199785,7.9133E-05,2.120652362,2.278918376,0.020652362,0.021081624,0.002201206,7.91456E-05,2.122059918,2.280351192,0.022059918,0.019648808,0.002121695,0.002280729,2.121695248,2.280729188,0.021695248,0.019270812,,,,,,,,,,,,,,,,,,
HI,169324,3,2.8,3.3,2002,sped,Special Education Child Count,Hawaii,HI-Hawaii,508,168816,0.003000165,0.000260501,2.739664618,3.260666109,0.060335382,0.039333891,0.003011441,0.000260742,2.750698868,3.272182248,0.049301132,0.027817752,0.002747874,0.003275263,2.747873738,3.275262758,0.052126262,0.024737242,,,,,,,,,,,,,,,,,,
ID,228122,2,1.8,2.2,2002,sped,Special Education Child Count,Idaho,ID-Idaho,456,227666,0.00199893,0.000183286,1.815644586,2.182216208,0.015644586,0.017783792,0.002007316,0.000183476,1.82384033,2.190792353,0.02384033,0.009207647,0.001821749,0.002193084,1.821748761,2.193084275,0.021748761,0.006915725,,,,,,,,,,,,,,,,,,
IL,1872358,2.6,2.5,2.6,2002,sped,Special Education Child Count,Illinois,IL-Illinois,4868,1867490,0.00259993,7.29406E-05,2.526989567,2.672870717,0.026989567,0.072870717,0.002600951,7.29476E-05,2.528003001,2.673898278,0.028003001,0.073898278,0.00252774,0.002674169,2.527739695,2.674169056,0.027739695,0.074169056,,,,,,,,,,,,,,,,,,
IN,924149,4.1,4,4.2,2002,sped,Special Education Child Count,Indiana,IN-Indiana,3789,920360,0.004099988,0.00013028,3.969708651,4.23026776,0.030291349,0.03026776,0.00410205,0.000130296,3.97175394,4.232345121,0.02824606,0.032345121,0.003971221,0.004232895,3.971221464,4.232894716,0.028778536,0.032894716,,,,,,,,,,,,,,,,,,
IA,433833,2.5,2.3,2.6,2002,sped,Special Education Child Count,Iowa,IA-Iowa,1085,432748,0.002500962,0.000148627,2.352335726,2.649588978,0.052335726,0.049588978,0.002505368,0.000148691,2.356676279,2.654058752,0.056676279,0.054058752,0.002355558,0.002655245,2.35555792,2.655245399,0.05555792,0.055245399,,,,,,,,,,,,,,,,,,
KS,422734,2,1.9,2.1,2002,sped,Special Education Child Count,Kansas,KS-Kansas,845,421889,0.001998893,0.00013464,1.864252712,2.13353313,0.035747288,0.03353313,0.002003418,0.000134716,1.868702677,2.138133932,0.031297323,0.038133932,0.00186756,0.002139356,1.867559648,2.139356424,0.032440352,0.039356424,,,,,,,,,,,,,,,,,,
KY,576765,2,1.8,2.1,2002,sped,Special Education Child Count,Kentucky,KY-Kentucky,1154,575611,0.002000815,0.000115323,1.885491556,2.116138224,0.085491556,0.016138224,0.002004132,0.000115371,1.88876108,2.119502357,0.08876108,0.019502357,0.001887919,0.002120394,1.887919107,2.120394175,0.087919107,0.020394175,,,,,,,,,,,,,,,,,,
LA,651099,2.1,1.9,2.2,2002,sped,Special Education Child Count,Louisiana,LA-Louisiana,1367,649732,0.002099527,0.000111181,1.988346528,2.210707687,0.088346528,0.010707687,0.002102465,0.000111219,1.99124563,2.213683736,0.09124563,0.013683736,0.001990498,0.002214472,1.990497987,2.214471945,0.090497987,0.014471945,,,,,,,,,,,,,,,,,,
ME,186615,3.5,3.2,3.7,2002,sped,Special Education Child Count,Maine,ME-Maine,653,185962,0.003499183,0.000267915,3.231267851,3.767097768,0.031267851,0.067097768,0.003509403,0.000268107,3.24129597,3.777510108,0.04129597,0.077510108,0.003238719,0.003780291,3.238718865,3.78029148,0.038718865,0.08029148,,,,,,,,,,,,,,,,,,
MD,784109,3.5,3.4,3.7,2002,sped,Special Education Child Count,Maryland,MD-Maryland,2744,781365,0.003499513,0.000130708,3.368805372,3.630221549,0.031194628,0.069778451,0.003501946,0.00013073,3.371215474,3.632676273,0.028784526,0.067323727,0.00337059,0.003633326,3.370589676,3.6333258,0.029410324,0.0666742,,,,,,,,,,,,,,,,,,
MA,890862,3.4,3.2,3.5,2002,sped,Special Education Child Count,Massachusetts,MA-Massachusetts,3029,887833,0.003400078,0.000120878,3.279199552,3.520955803,0.079199552,0.020955803,0.003402219,0.000120897,3.281322211,3.523115873,0.081322211,0.023115873,0.003280771,0.003523687,3.2807709,3.523687065,0.0807709,0.023687065,,,,,,,,,,,,,,,,,,
MI,1582807,3.2,3.1,3.3,2002,sped,Special Education Child Count,Michigan,MI-Michigan,5065,1577742,0.003200011,8.79861E-05,3.11202506,3.287997179,0.01202506,0.012002821,0.003201217,8.79942E-05,3.113222633,3.289211059,0.013222633,0.010788941,0.003112911,0.003289531,3.112911067,3.289531281,0.012911067,0.010468719,,,,,,,,,,,,,,,,,,
MN,778097,5,4.9,5.2,2002,sped,Special Education Child Count,Minnesota,MN-Minnesota,3890,774207,0.004999377,0.000156711,4.842665199,5.15608817,0.057334801,0.04391183,0.00500182,0.00015673,4.845090334,5.158550639,0.054909666,0.041449361,0.004844458,0.005159203,4.844457764,5.159203248,0.055542236,0.040796752,,,,,,,,,,,,,,,,,,
MS,439882,1.1,1,1.2,2002,sped,Special Education Child Count,Mississippi,MS-Mississippi,484,439398,0.001100295,9.79705E-05,1.002324534,1.198265624,0.002324534,0.001734376,0.001104652,9.80669E-05,1.006584952,1.202718842,0.006584952,0.002718842,0.001005499,0.001203906,1.005498805,1.203905986,0.005498805,0.003905986,,,,,,,,,,,,,,,,,,
MO,829081,2.6,2.5,2.7,2002,sped,Special Education Child Count,Missouri,MO-Missouri,2156,826925,0.00260047,0.000109625,2.490844555,2.710094798,0.009155445,0.010094798,0.002602774,0.000109649,2.493125224,2.712423404,0.006874776,0.012423404,0.002492535,0.002713039,2.492534826,2.713039153,0.007465174,0.013039153,,,,,,,,,,,,,,,,,,
MT,139124,1.6,1.4,1.9,2002,sped,Special Education Child Count,Montana,MT-Montana,223,138901,0.001602887,0.000210208,1.392678205,1.813095062,0.007321795,0.086904938,0.001616648,0.000210655,1.405992387,1.827303365,0.005992387,0.072696635,0.001402633,0.001831132,1.402633471,1.83113182,0.002633471,0.06886818,,,,,,,,,,,,,,,,,,
NE,259471,1.7,1.6,1.9,2002,sped,Special Education Child Count,Nebraska,NE-Nebraska,441,259030,0.001699612,0.000158493,1.541119233,1.858104572,0.058880767,0.041895428,0.001706989,0.000158663,1.548326018,1.865652207,0.051673982,0.034347793,0.001546489,0.001867669,1.546488671,1.867668748,0.053511329,0.032331252,,,,,,,,,,,,,,,,,,
NV,339018,1.9,1.8,2.1,2002,sped,Special Education Child Count,Nevada,NV-Nevada,644,338374,0.001899604,0.000146573,1.753030677,2.046177625,0.046969323,0.053822375,0.001905248,0.000146681,1.758566862,2.051929398,0.041433138,0.048070602,0.001757149,0.002053461,1.75714879,2.053460966,0.04285121,0.046539034,,,,,,,,,,,,,,,,,,
NH,195370,2.4,2.2,2.6,2002,sped,Special Education Child Count,New Hampshire,NH-New Hampshire,469,194901,0.002400573,0.000216998,2.183575771,2.617570772,0.016424229,0.017570772,0.002410357,0.000217216,2.193141297,2.627572939,0.006858703,0.027572939,0.002190697,0.002630247,2.190697403,2.630247376,0.009302597,0.030247376,,,,,,,,,,,,,,,,,,
NJ,1181285,3.4,3.3,3.5,2002,sped,Special Education Child Count,New Jersey,NJ-New Jersey,4016,1177269,0.003399688,0.000104967,3.294721117,3.50465414,0.005278883,0.00465414,0.003401303,0.000104979,3.296323771,3.506281296,0.003676229,0.006281296,0.003295907,0.003506711,3.295907016,3.506711074,0.004092984,0.006711074,,,,,,,,,,,,,,,,,,
NM,294067,0.9,0.8,1,2002,sped,Special Education Child Count,New Mexico,NM-New Mexico,265,293802,0.000901155,0.00010845,0.792705326,1.009605031,0.007294674,0.009605031,0.000907675,0.000108645,0.799029982,1.016319871,0.000970018,0.016319871,0.000797432,0.001018122,0.797431792,1.018122126,0.002568208,0.018122126,,,,,,,,,,,,,,,,,,
NY,2515084,3.1,3,3.2,2002,sped,Special Education Child Count,New York,NY-New York,7797,2507287,0.003100095,6.87045E-05,3.031390772,3.168799759,0.031390772,0.031200241,0.003100854,6.87086E-05,3.03214558,3.169562846,0.03214558,0.030437154,0.003031949,0.003169764,3.031948976,3.169763842,0.031948976,0.030236158,,,,,,,,,,,,,,,,,,
NC,1220801,2.7,2.6,2.8,2002,sped,Special Education Child Count,North Carolina,NC-North Carolina,3296,1217505,0.002699867,9.2047E-05,2.607819702,2.791913751,0.007819702,0.008086249,0.002701432,9.20602E-05,2.609371381,2.793491742,0.009371381,0.006508258,0.002608969,0.002793908,2.608968778,2.793908269,0.008968778,0.006091731,,,,,,,,,,,,,,,,,,
ND,96439,1.7,1.5,2,2002,sped,Special Education Child Count,North Dakota,ND-North Dakota,164,96275,0.001700557,0.000260045,1.440512294,1.960601364,0.059487706,0.039398636,0.001720405,0.000260796,1.459609098,1.981200545,0.040390902,0.018799455,0.00145482,0.001986779,1.454819543,1.986779225,0.045180457,0.013220775,,,,,,,,,,,,,,,,,,
OH,1678807,2.3,2.2,2.4,2002,sped,Special Education Child Count,Ohio,OH-Ohio,3861,1674946,0.002299847,7.24598E-05,2.227387633,2.372307269,0.027387633,0.027692731,0.002300986,7.24687E-05,2.228517606,2.373454974,0.028517606,0.026545026,0.002228224,0.002373757,2.228224456,2.373757484,0.028224456,0.026242516,,,,,,,,,,,,,,,,,,
OK,547381,1.4,1.3,1.5,2002,sped,Special Education Child Count,Oklahoma,OK-Oklahoma,766,546615,0.001399391,9.90304E-05,1.300360487,1.498421349,0.000360487,0.001578651,0.00140289,9.90919E-05,1.303798134,1.501981899,0.003798134,0.001981899,0.001302917,0.001502928,1.30291696,1.502927583,0.00291696,0.002927583,,,,,,,,,,,,,,,,,,
OR,512972,6.2,5.9,6.4,2002,sped,Special Education Child Count,Oregon,OR-Oregon,3180,509792,0.006199169,0.000214792,5.98437698,6.413960551,0.08437698,0.013960551,0.006202867,0.000214823,5.98804382,6.417689441,0.08804382,0.017689441,0.005987086,0.006418681,5.987085894,6.418680924,0.087085894,0.018680924,,,,,,,,,,,,,,,,,,
PA,1691071,2.7,2.6,2.8,2002,sped,Special Education Child Count,Pennsylvania,PA-Pennsylvania,4566,1686505,0.002700064,7.82109E-05,2.621853176,2.778274909,0.021853176,0.021725091,0.002701194,7.82189E-05,2.622974777,2.779412648,0.022974777,0.020587352,0.002622683,0.002779713,2.622683377,2.779712589,0.022683377,0.020287411,,,,,,,,,,,,,,,,,,
RI,147307,3.1,2.8,3.3,2002,sped,Special Education Child Count,Rhode Island,RI-Rhode Island,457,146850,0.003102364,0.000283993,2.818371153,3.386357746,0.018371153,0.086357746,0.003115322,0.000284285,2.83103711,3.399607218,0.03103711,0.099607218,0.002827798,0.003403156,2.827797677,3.403156065,0.027797677,0.103156065,,,,,,,,,,,,,,,,,,
SC,625007,1.7,1.6,1.8,2002,sped,Special Education Child Count,South Carolina,SC-South Carolina,1063,623944,0.001700781,0.000102155,1.598625815,1.802936088,0.001374185,0.002936088,0.001703844,0.000102201,1.601642889,1.806044334,0.001642889,0.006044334,0.001600867,0.001806868,1.600866879,1.80686829,0.000866879,0.00686829,,,,,,,,,,,,,,,,,,
SD,116672,2.2,2,2.5,2002,sped,Special Education Child Count,South Dakota,SD-South Dakota,257,116415,0.002202756,0.00026901,1.93374599,2.471766901,0.06625401,0.028233099,0.002219146,0.000269505,1.949641178,2.488650866,0.050358822,0.011349134,0.001945617,0.002493197,1.945616537,2.493196725,0.054383463,0.006803275,,,,,,,,,,,,,,,,,,
TN,826056,1.5,1.4,1.6,2002,sped,Special Education Child Count,Tennessee,TN-Tennessee,1239,824817,0.001499898,8.34542E-05,1.41644409,1.583352534,0.01644409,0.016647466,0.001502217,8.34862E-05,1.418730288,1.585702726,0.018730288,0.014297274,0.001418142,0.001586325,1.418141814,1.586324814,0.018141814,0.013675186,,,,,,,,,,,,,,,,,,
TX,3760793,2.2,2.1,2.2,2002,sped,Special Education Child Count,Texas,TX-Texas,8274,3752519,0.002200068,4.73531E-05,2.15271484,2.247420983,0.05271484,0.047420983,0.002200576,4.73558E-05,2.153220611,2.247932165,0.053220611,0.047932165,0.002153089,0.002248067,2.153089088,2.248066543,0.053089088,0.048066543,,,,,,,,,,,,,,,,,,
UT,431980,1.8,1.7,2,2002,sped,Special Education Child Count,Utah,UT-Utah,778,431202,0.001801009,0.00012644,1.674569794,1.927448818,0.025430206,0.072551182,0.00180544,0.000126517,1.678923047,1.931956132,0.021076953,0.068043868,0.001677806,0.001933154,1.677806134,1.933154107,0.022193866,0.066845893,,,,,,,,,,,,,,,,,,
VT,90699,2.5,2.2,2.8,2002,sped,Special Education Child Count,Vermont,VT-Vermont,227,90472,0.002502784,0.000325173,2.177611017,2.827956851,0.022388983,0.027956851,0.002523854,0.000325848,2.198006038,2.849701966,0.001993962,0.049701966,0.00219285,0.002855571,2.19285018,2.855570727,0.00714982,0.055570727,,,,,,,,,,,,,,,,,,
VA,1078396,2.6,2.5,2.7,2002,sped,Special Education Child Count,Virginia,VA-Virginia,2804,1075592,0.002600158,9.61155E-05,2.504042502,2.696273523,0.004042502,0.003726477,0.00260193,9.61317E-05,2.505798174,2.698061511,0.005798174,0.001938489,0.002505343,0.002698534,2.50534307,2.698533706,0.00534307,0.001466294,,,,,,,,,,,,,,,,,,
WA,935529,2.4,2.3,2.5,2002,sped,Special Education Child Count,Washington,WA-Washington,2245,933284,0.002399712,9.91465E-05,2.300565343,2.498858299,0.000565343,0.001141701,0.002401755,9.91673E-05,2.302587727,2.500922379,0.002587727,0.000922379,0.002302064,0.002501468,2.302064285,2.501467845,0.002064285,0.001467845,,,,,,,,,,,,,,,,,,
WV,253894,1.6,1.4,1.7,2002,sped,Special Education Child Count,West Virginia,WV-West Virginia,406,253488,0.001599093,0.000155422,1.443671014,1.754514055,0.043671014,0.054514055,0.001606633,0.000155603,1.451030139,1.762236481,0.051030139,0.062236481,0.001449156,0.001764301,1.449156307,1.764301183,0.049156307,0.064301183,,,,,,,,,,,,,,,,,,
WI,797469,3.2,3.1,3.4,2002,sped,Special Education Child Count,Wisconsin,WI-Wisconsin,2552,794917,0.003200124,0.000123959,3.076165239,3.324083548,0.023834761,0.075916452,0.003202517,0.000123982,3.078535545,3.326499452,0.021464455,0.073500548,0.003077921,0.003327139,3.077920667,3.327138534,0.022079333,0.072861466,,,,,,,,,,,,,,,,,,
WY,80295,1.5,1.3,1.8,2002,sped,Special Education Child Count,Wyoming,WY-Wyoming,120,80175,0.001494489,0.000267193,1.227295845,1.761682298,0.072704155,0.038317702,0.001518337,0.000268249,1.250088305,1.786586376,0.049911695,0.013413624,0.001244416,0.001793366,1.24441572,1.793366121,0.05558428,0.006633879,,,,,,,,,,,,,,,,,,
AL,672827,1.8,1.7,2,2003,sped,Special Education Child Count,Alabama,AL-Alabama,1211,671616,0.001799868,0.00010128,1.698587881,1.901148753,0.001412119,0.098851247,0.001802713,0.00010132,1.701392658,1.904032821,0.001392658,0.095967179,0.00170067,0.001904797,1.700670394,1.90479681,0.000670394,0.09520319,,,,,,,,,,,,,,,,,,
AK,122575,2.3,2,2.6,2003,sped,Special Education Child Count,Alaska,AK-Alaska,282,122293,0.002300632,0.000268207,2.032424967,2.568839564,0.032424967,0.031160436,0.00231623,0.000268656,2.047573268,2.584885745,0.047573268,0.015114255,0.002043731,0.002589201,2.043731178,2.58920146,0.043731178,0.01079854,,,,,,,,,,,,,,,,,,
AZ,920714,2.2,2.1,2.3,2003,sped,Special Education Child Count,Arizona,AZ-Arizona,2026,918688,0.002200466,9.57116E-05,2.10475453,2.29617779,0.00475453,0.00382221,0.002202543,9.5734E-05,2.106809138,2.298277063,0.006809138,0.001722937,0.002106278,0.002298832,2.106277866,2.298831899,0.006277866,0.001168101,,,,,,,,,,,,,,,,,,
