"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor"
"AZ",920714,2.2,2.1,2.3,2003,"sped","Special Education Child Count","Arizona","AZ-Arizona",2026,918688,0.002200466,2.106277866,2.298831899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"AR",414546,2.4,2.3,2.6,2003,"sped","Special Education Child Count","Arkansas","AR-Arkansas",995,413551,0.002400216,2.254629296,2.555099716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"CA",5784387,3.1,3.1,3.2,2003,"sped","Special Education Child Count","California","CA-California",17932,5766455,0.003100069,3.055008791,3.145790865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"CO",681787,1.2,1.1,1.3,2003,"sped","Special Education Child Count","Colorado","CO-Colorado",818,680969,0.001199788,1.119672131,1.285575258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"CT",523070,3.7,3.5,3.8,2003,"sped","Special Education Child Count","Connecticut","CT-Connecticut",1935,521135,0.003699314,3.537462025,3.868497326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"DE",109122,3.1,2.8,3.5,2003,"sped","Special Education Child Count","Delaware","DE-Delaware",338,108784,0.003097451,2.780444495,3.449926152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"DC",62534,3,2.6,3.4,2003,"sped","Special Education Child Count","District of Columbia","DC-District of Columbia",188,62346,0.003006365,2.599295601,3.475625091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"FL",2346054,2.4,2.3,2.4,2003,"sped","Special Education Child Count","Florida","FL-Florida",5631,2340423,0.002400201,2.338184301,2.463851809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"GA",1367276,2.8,2.7,2.9,2003,"sped","Special Education Child Count","Georgia","GA-Georgia",3828,1363448,0.002799727,2.712187029,2.890073018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"HI",168579,3.5,3.3,3.8,2003,"sped","Special Education Child Count","Hawaii","HI-Hawaii",590,167989,0.003499843,3.226176539,3.796374208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"ID",230858,2.3,2.1,2.5,2003,"sped","Special Education Child Count","Idaho","ID-Idaho",531,230327,0.002300115,2.110737298,2.506239654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"IL",1883049,3,2.9,3.1,2003,"sped","Special Education Child Count","Illinois","IL-Illinois",5649,1877400,0.002999922,2.922554866,3.079323673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"IN",931573,4.8,4.7,5,2003,"sped","Special Education Child Count","Indiana","IN-Indiana",4472,927101,0.004800483,4.661623153,4.943441731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"IA",435394,2.6,2.5,2.8,2003,"sped","Special Education Child Count","Iowa","IA-Iowa",1132,434262,0.002599944,2.451894594,2.756836924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"KS",419497,2.3,2.1,2.4,2003,"sped","Special Education Child Count","Kansas","KS-Kansas",965,418532,0.002300374,2.158734614,2.451203412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"KY",577827,2.2,2.1,2.4,2003,"sped","Special Education Child Count","Kentucky","KY-Kentucky",1271,576556,0.00219962,2.081249321,2.3246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"LA",647893,2.3,2.2,2.4,2003,"sped","Special Education Child Count","Louisiana","LA-Louisiana",1490,646403,0.002299762,2.185286762,2.420179047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"ME",186248,4.2,3.9,4.5,2003,"sped","Special Education Child Count","Maine","ME-Maine",782,185466,0.004198703,3.912501739,4.505542604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MD",787162,4.2,4.1,4.4,2003,"sped","Special Education Child Count","Maryland","MD-Maryland",3306,783856,0.004199898,4.058809286,4.34584707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MA",888222,4.2,4.1,4.4,2003,"sped","Special Education Child Count","Massachusetts","MA-Massachusetts",3731,884491,0.004200526,4.067599082,4.337760288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MI",1560463,3.7,3.6,3.8,2003,"sped","Special Education Child Count","Michigan","MI-Michigan",5774,1554689,0.003700184,3.605817762,3.797001686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MN",772648,6.2,6,6.4,2003,"sped","Special Education Child Count","Minnesota","MN-Minnesota",4790,767858,0.00619946,6.026241335,6.377606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2003"
"MS",439395,1.3,1.2,1.4,2003,"sped","Special Education Child Count","Mississippi","MS-Mississippi",571,438824,0.001299514,1.196174526,1.411666568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MO",827353,3.1,2.9,3.2,2003,"sped","Special Education Child Count","Missouri","MO-Missouri",2565,824788,0.003100249,2.982149436,3.222985347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"MT",137195,1.7,1.5,2,2003,"sped","Special Education Child Count","Montana","MT-Montana",233,136962,0.001698313,1.490529481,1.934465652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NE",258903,2,1.9,2.2,2003,"sped","Special Education Child Count","Nebraska","NE-Nebraska",518,258385,0.002000749,1.834008817,2.18243332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NV",353437,2.4,2.3,2.6,2003,"sped","Special Education Child Count","Nevada","NV-Nevada",848,352589,0.002399296,2.241955498,2.567548022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NH",194656,2.9,2.6,3.1,2003,"sped","Special Education Child Count","New Hampshire","NH-New Hampshire",565,194091,0.002902556,2.67071755,3.154225406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NJ",1194379,3.9,3.8,4,2003,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",4658,1189721,0.003899935,3.789328132,4.013744224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NM",295454,1.1,1,1.2,2003,"sped","Special Education Child Count","New Mexico","NM-New Mexico",325,295129,0.001100002,0.985187341,1.227973242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NY",2502148,3.6,3.5,3.6,2003,"sped","Special Education Child Count","New York","NY-New York",9008,2493140,0.003600107,3.52645663,3.675285259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"NC",1239187,3.1,3,3.2,2003,"sped","Special Education Child Count","North Carolina","NC-North Carolina",3841,1235346,0.003099613,3.002871977,3.199447261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"ND",94590,2.1,1.8,2.4,2003,"sped","Special Education Child Count","North Dakota","ND-North Dakota",199,94391,0.002103816,1.826429599,2.422372812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"OH",1685241,2.9,2.8,3,2003,"sped","Special Education Child Count","Ohio","OH-Ohio",4887,1680354,0.002899882,2.819529576,2.982508902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"OK",545292,1.7,1.6,1.8,2003,"sped","Special Education Child Count","Oklahoma","OK-Oklahoma",927,544365,0.001700007,1.593230939,1.813861882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"OR",509235,6.9,6.7,7.2,2003,"sped","Special Education Child Count","Oregon","OR-Oregon",3514,505721,0.006900547,6.675904422,7.132660919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2003"
"PA",1693953,3.3,3.2,3.4,2003,"sped","Special Education Child Count","Pennsylvania","PA-Pennsylvania",5590,1688363,0.003299973,3.214436895,3.387770568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"RI",147200,3.7,3.4,4,2003,"sped","Special Education Child Count","Rhode Island","RI-Rhode Island",545,146655,0.003702446,3.40161082,4.029466763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"SC",628106,1.9,1.8,2,2003,"sped","Special Education Child Count","South Carolina","SC-South Carolina",1193,626913,0.001899361,1.793914093,2.010945473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"SD",114204,2.6,2.3,2.9,2003,"sped","Special Education Child Count","South Dakota","SD-South Dakota",297,113907,0.002600609,2.317362081,2.917812683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"TN",834500,1.9,1.8,1.9,2003,"sped","Special Education Child Count","Tennessee","TN-Tennessee",1586,832914,0.001900539,1.808773867,1.996919805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"TX",3814099,2.6,2.5,2.6,2003,"sped","Special Education Child Count","Texas","TX-Texas",9917,3804182,0.00260009,2.549351489,2.651832665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"UT",435939,2.2,2.1,2.4,2003,"sped","Special Education Child Count","Utah","UT-Utah",959,434980,0.002199849,2.063979868,2.34456364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"VT",89718,2.8,2.5,3.2,2003,"sped","Special Education Child Count","Vermont","VT-Vermont",251,89467,0.002797655,2.467446575,3.171124021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"VA",1088822,3,2.9,3.2,2003,"sped","Special Education Child Count","Virginia","VA-Virginia",3266,1085556,0.002999572,2.898141216,3.104525398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"WA",939334,2.8,2.7,2.9,2003,"sped","Special Education Child Count","Washington","WA-Washington",2630,936704,0.002799856,2.694492548,2.909306481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"WV",252349,1.9,1.7,2.1,2003,"sped","Special Education Child Count","West Virginia","WV-West Virginia",479,251870,0.001898165,1.733861361,2.077809859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"WI",793991,3.9,3.8,4,2003,"sped","Special Education Child Count","Wisconsin","WI-Wisconsin",3097,790894,0.003900548,3.76520344,4.040714985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"WY",79054,1.9,1.6,2.2,2003,"sped","Special Education Child Count","Wyoming","WY-Wyoming",150,78904,0.001897437,1.611503157,2.232783329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2003"
"AL",671182,2.2,2.1,2.3,2004,"sped","Special Education Child Count","Alabama","AL-Alabama",1477,669705,0.002200595,2.090578943,2.316347847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"AK",121340,2.8,2.5,3.1,2004,"sped","Special Education Child Count","Alaska","AK-Alaska",340,121000,0.002802044,2.516046978,3.119956457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"AZ",948234,2.6,2.5,2.7,2004,"sped","Special Education Child Count","Arizona","AZ-Arizona",2465,945769,0.002599569,2.498559166,2.704630267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"AR",417497,2.8,2.6,2.9,2004,"sped","Special Education Child Count","Arkansas","AR-Arkansas",1169,416328,0.00280002,2.643081843,2.966176286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"CA",5812940,3.7,3.7,3.8,2004,"sped","Special Education Child Count","California","CA-California",21508,5791432,0.003700021,3.650905611,3.749793463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"CO",687752,1.5,1.4,1.6,2004,"sped","Special Education Child Count","Colorado","CO-Colorado",1032,686720,0.001500541,1.411097461,1.595597294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"CT",523056,4.3,4.1,4.5,2004,"sped","Special Education Child Count","Connecticut","CT-Connecticut",2249,520807,0.004299731,4.125077832,4.481704086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"DE",110142,3.5,3.2,3.9,2004,"sped","Special Education Child Count","Delaware","DE-Delaware",385,109757,0.003495488,3.159515838,3.866542239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"FL",2394178,2.7,2.6,2.8,2004,"sped","Special Education Child Count","Florida","FL-Florida",6464,2387714,0.002699883,2.634740888,2.766625614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"GA",1393151,3.2,3.1,3.3,2004,"sped","Special Education Child Count","Georgia","GA-Georgia",4458,1388693,0.00319994,3.107163651,3.295467126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"HI",168103,4.1,3.8,4.4,2004,"sped","Special Education Child Count","Hawaii","HI-Hawaii",689,167414,0.004098678,3.801523897,4.418715834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"ID",233896,2.8,2.6,3,2004,"sped","Special Education Child Count","Idaho","ID-Idaho",655,233241,0.00280039,2.59218629,3.025087978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"IL",1882484,3.5,3.4,3.6,2004,"sped","Special Education Child Count","Illinois","IL-Illinois",6589,1875895,0.003500163,3.416541754,3.585816071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"IN",940239,5.6,5.5,5.8,2004,"sped","Special Education Child Count","Indiana","IN-Indiana",5265,934974,0.00559964,5.450291474,5.753042798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2004"
"IA",435498,2.6,2.5,2.8,2004,"sped","Special Education Child Count","Iowa","IA-Iowa",1132,434366,0.002599323,2.451309022,2.756178625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"KS",417673,2.6,2.4,2.8,2004,"sped","Special Education Child Count","Kansas","KS-Kansas",1086,416587,0.00260012,2.449025678,2.760434965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"KY",582368,2.6,2.4,2.7,2004,"sped","Special Education Child Count","Kentucky","KY-Kentucky",1514,580854,0.002599731,2.471351892,2.734714615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"LA",643428,2.6,2.5,2.7,2004,"sped","Special Education Child Count","Louisiana","LA-Louisiana",1673,641755,0.002600136,2.477879912,2.728367435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"ME",183386,5.2,4.8,5.5,2004,"sped","Special Education Child Count","Maine","ME-Maine",954,182432,0.005202142,4.880457871,5.544726576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2004"
"MD",787343,4.9,4.7,5,2004,"sped","Special Education Child Count","Maryland","MD-Maryland",3858,783485,0.004900025,4.747555905,5.057344187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"MA",883936,4.8,4.7,5,2004,"sped","Special Education Child Count","Massachusetts","MA-Massachusetts",4243,879693,0.004800121,4.657615318,4.946948245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"MI",1554020,4.3,4.2,4.4,2004,"sped","Special Education Child Count","Michigan","MI-Michigan",6682,1547338,0.004299816,4.197841418,4.404248854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"MN",768673,7.7,7.5,7.9,2004,"sped","Special Education Child Count","Minnesota","MN-Minnesota",5919,762754,0.007700283,7.506674086,7.898829774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2004"
"MS",440374,1.5,1.4,1.6,2004,"sped","Special Education Child Count","Mississippi","MS-Mississippi",661,439713,0.001500997,1.389830212,1.620946756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"MO",827519,3.6,3.5,3.8,2004,"sped","Special Education Child Count","Missouri","MO-Missouri",2979,824540,0.003599917,3.472568619,3.731896339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NE",258442,2.5,2.3,2.7,2004,"sped","Special Education Child Count","Nebraska","NE-Nebraska",646,257796,0.002499594,2.312475507,2.701649831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NV",366772,3,2.8,3.1,2004,"sped","Special Education Child Count","Nevada","NV-Nevada",1100,365672,0.002999138,2.82597653,3.182791255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NH",193708,3.4,3.1,3.6,2004,"sped","Special Education Child Count","New Hampshire","NH-New Hampshire",659,193049,0.003402028,3.149907747,3.674039621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NJ",1213556,4.5,4.4,4.6,2004,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",5461,1208095,0.004499998,4.382068415,4.621076099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NM",296156,1.2,1.1,1.4,2004,"sped","Special Education Child Count","New Mexico","NM-New Mexico",355,295801,0.001198693,1.078776592,1.331723439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NY",2503880,4.1,4,4.2,2004,"sped","Special Education Child Count","New York","NY-New York",10266,2493614,0.004100037,4.021447617,4.180151327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"NC",1261533,3.6,3.4,3.7,2004,"sped","Special Education Child Count","North Carolina","NC-North Carolina",4542,1256991,0.003600381,3.496973934,3.706823546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"ND",92781,2.4,2.1,2.7,2004,"sped","Special Education Child Count","North Dakota","ND-North Dakota",223,92558,0.002403509,2.103328817,2.745595843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"OH",1679698,3.6,3.5,3.7,2004,"sped","Special Education Child Count","Ohio","OH-Ohio",6047,1673651,0.003600052,3.510312188,3.692069624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"OK",545919,2,1.9,2.1,2004,"sped","Special Education Child Count","Oklahoma","OK-Oklahoma",1092,544827,0.002000297,1.884339503,2.123316609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"OR",511489,7.9,7.7,8.2,2004,"sped","Special Education Child Count","Oregon","OR-Oregon",4041,507448,0.007900463,7.660545043,8.147802668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2004"
"PA",1690520,4,3.9,4.1,2004,"sped","Special Education Child Count","Pennsylvania","PA-Pennsylvania",6762,1683758,0.003999953,3.905633945,4.096532586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"RI",146041,4.4,4.1,4.8,2004,"sped","Special Education Child Count","Rhode Island","RI-Rhode Island",643,145398,0.004402873,4.072807903,4.759272766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
"SC",630448,2.2,2.1,2.3,2004,"sped","Special Education Child Count","South Carolina","SC-South Carolina",1387,629061,0.002200023,2.08659082,2.31956282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2004"
